データ日付,NK 終値,NKVI 終値
20140106,15908.88,24.67
20140107,15814.37,23.38
20140108,16121.45,22.17
20140109,15880.33,21.96
20140110,15912.06,21.41
20140114,15422.4,24.7
20140115,15808.73,24.95
20140116,15747.2,24.4
20140117,15734.46,23.11
20140120,15641.68,22.76
20140121,15795.96,22.11
20140122,15820.96,21.43
20140123,15695.89,21.4
20140124,15391.56,22.67
20140127,15005.73,27.34
20140128,14980.16,26.99
20140129,15383.91,26.19
20140130,15007.06,28.26
20140131,14914.53,29.11
20140203,14619.13,30.25
20140204,14008.47,33.21
20140205,14180.38,32.37
20140206,14155.12,30.75
20140207,14462.41,29.98
20140210,14718.34,27.76
20140212,14800.06,26.94
20140213,14534.74,28.09
20140214,14313.03,28.69
20140217,14393.11,28.56
20140218,14843.24,27.67
20140219,14766.53,28.03
20140220,14449.18,28.94
20140221,14865.67,28
20140224,14837.68,27.88
20140225,15051.6,27.17
20140226,14970.97,26.28
20140227,14923.11,25.93
20140228,14841.07,25.93
20140303,14652.23,27.75
20140304,14721.48,27.32
20140305,14897.63,26.8
20140306,15134.75,26.95
20140307,15274.07,26.79
20140310,15120.14,27.68
20140311,15224.11,25.99
20140312,14830.39,26.38
20140313,14815.98,26.25
20140314,14327.66,29.7
20140317,14277.67,28.35
20140318,14411.27,26.82
20140319,14462.52,26.08
20140320,14224.23,26.65
20140324,14475.3,25.72
20140325,14423.19,25.51
20140326,14477.16,24.22
20140327,14622.89,24.04
20140328,14696.03,23.71
20140331,14827.83,24.2
20140401,14791.99,24.24
20140402,14946.32,24.66
20140403,15071.88,24.34
20140404,15063.77,23.99
20140407,14808.85,23.94
20140408,14606.88,23.4
20140409,14299.69,23.4
20140410,14300.12,23.57
20140411,13960.05,25.03
20140414,13910.16,24.83
20140415,13996.81,23.39
20140416,14417.68,23.93
20140417,14417.53,23.29
20140418,14516.27,22.5
20140421,14512.38,23.03
20140422,14388.77,23.29
20140423,14546.27,22.26
20140424,14404.99,22.36
20140425,14429.26,21.96
20140428,14288.23,22.89
20140430,14304.11,22.51
20140501,14485.13,20.97
20140502,14457.51,20.49
20140507,14033.45,22.47
20140508,14163.78,22.19
20140509,14199.59,21.47
20140512,14149.52,20.43
20140513,14425.44,20.24
20140514,14405.76,19.99
20140515,14298.21,19.87
20140516,14096.59,21.02
20140519,14006.44,21.92
20140520,14075.25,22.02
20140521,14042.17,20.66
20140522,14337.79,20.51
20140523,14462.17,20.97
20140526,14602.52,21.4
20140527,14636.52,21.06
20140528,14670.95,20.5
20140529,14681.72,20.08
20140530,14632.38,19.75
20140602,14935.92,20.99
20140603,15034.25,21.29
20140604,15067.96,20.85
20140605,15079.37,20.66
20140606,15077.24,20.16
20140609,15124,19.44
20140610,14994.8,19.86
20140611,15069.48,18.89
20140612,14973.53,19.41
20140613,15097.84,19.66
20140616,14933.29,19.5
20140617,14975.97,18.51
20140618,15115.8,18.65
20140619,15361.16,17.71
20140620,15349.42,17.44
20140623,15369.28,18.12
20140624,15376.24,18.1
20140625,15266.61,17.22
20140626,15308.49,16.31
20140627,15095,17.33
20140630,15162.1,17.34
20140701,15326.2,16.84
20140702,15369.97,16.65
20140703,15348.29,16.42
20140704,15437.13,15.6
20140707,15379.44,15.32
20140708,15314.41,15.05
20140709,15302.65,15.2
20140710,15216.47,15.29
20140711,15164.04,16.3
20140714,15296.82,15.34
20140715,15395.16,15.42
20140716,15379.3,15.06
20140717,15370.26,14
20140718,15215.71,15.38
20140722,15343.28,15.2
20140723,15328.56,15.34
20140724,15284.42,14.82
20140725,15457.87,14.78
20140728,15529.4,16.02
20140729,15618.07,16.28
20140730,15646.23,16.23
20140731,15620.77,16.02
20140801,15523.11,16.79
20140804,15474.5,16.12
20140805,15320.31,15.28
20140806,15159.79,16.71
20140807,15232.37,16.95
20140808,14778.37,23.25
20140811,15130.52,20.67
20140812,15161.31,18.63
20140813,15213.63,18.41
20140814,15314.57,18.06
20140815,15318.34,18
20140818,15322.6,18.05
20140819,15449.79,17.6
20140820,15454.45,17.7
20140821,15586.2,18.04
20140822,15539.19,17.69
20140825,15613.25,17.38
20140826,15521.22,17.13
20140827,15534.82,16.41
20140828,15459.86,15.56
20140829,15424.59,15.94
20140901,15476.6,16.31
20140902,15668.6,16.75
20140903,15728.35,18.12
20140904,15676.18,17.05
20140905,15668.68,17.66
20140908,15705.11,16.96
20140909,15749.15,17.16
20140910,15788.78,17.57
20140911,15909.2,18.75
20140912,15948.29,18
20140916,15911.53,17.35
20140917,15888.67,17.31
20140918,16067.57,17.1
20140919,16321.17,16.69
20140922,16205.9,17.03
20140924,16167.45,17.11
20140925,16374.14,16.6
20140926,16229.86,16.66
20140929,16310.64,16.8
20140930,16173.52,17.55
20141001,16082.25,17.53
20141002,15661.99,19.61
20141003,15708.65,19.38
20141006,15890.95,17.97
20141007,15783.83,18.15
20141008,15595.98,19.28
20141009,15478.93,20
20141010,15300.55,21.17
20141014,14936.51,24.76
20141015,15073.52,23.26
20141016,14738.38,27.16
20141017,14532.51,29.79
20141020,15111.23,25.72
20141021,14804.28,26.53
20141022,15195.77,24.24
20141023,15138.96,24.24
20141024,15291.64,24.47
20141027,15388.72,24.32
20141028,15329.91,22.99
20141029,15553.91,22.17
20141030,15658.2,20.99
20141031,16413.76,25.22
20141104,16862.47,30.49
20141105,16937.32,27.45
20141106,16792.48,27.74
20141107,16880.38,25.98
20141110,16780.53,25.03
20141111,17124.11,24.88
20141112,17197.05,27.59
20141113,17392.79,28.15
20141114,17490.83,27.64
20141117,16973.8,30.01
20141118,17344.06,29.05
20141119,17288.75,26.87
20141120,17300.86,24.79
20141121,17357.51,24.68
20141125,17407.62,24.06
20141126,17383.58,23.42
20141127,17248.5,23.62
20141128,17459.85,23.8
20141201,17590.1,24.59
20141202,17663.22,24.4
20141203,17720.43,25.82
20141204,17887.21,26.09
20141205,17920.45,25.54
20141208,17935.64,25.16
20141209,17813.38,26.25
20141210,17412.58,30.04
20141211,17257.4,28.62
20141212,17371.58,28.77
20141215,17099.4,26.59
20141216,16755.32,26.62
20141217,16819.73,26.11
20141218,17210.05,24.72
20141219,17621.4,24.24
20141222,17635.14,24.26
20141224,17854.23,24.3
20141225,17808.75,23.97
20141226,17818.96,23.87
20141229,17729.84,25.61
20141230,17450.77,26.36
20150105,17408.71,25.15
20150106,16883.19,26.58
20150107,16885.33,25.95
20150108,17167.1,24.99
20150109,17197.73,23.89
20150113,17087.71,24.48
20150114,16795.96,25.26
20150115,17108.7,23.64
20150116,16864.16,25.63
20150119,17014.29,25.22
20150120,17366.3,24.79
20150121,17280.48,24.76
20150122,17329.02,24.21
20150123,17511.75,22.19
20150126,17468.52,22.16
20150127,17768.3,21.03
20150128,17795.73,20.72
20150129,17606.22,21.65
20150130,17674.39,21.67
20150202,17558.04,23.04
20150203,17335.85,23.8
20150204,17678.74,22.34
20150205,17504.62,22.82
20150206,17648.5,22.42
20150209,17711.93,22.49
20150210,17652.68,22.64
20150212,17979.72,22.24
20150213,17913.36,20.65
20150216,18004.77,21.72
20150217,17987.09,21.31
20150218,18199.17,20.56
20150219,18264.79,21.04
20150220,18332.3,21.96
20150223,18466.92,21.84
20150224,18603.48,20.04
20150225,18585.2,18.97
20150226,18785.79,19.55
20150227,18797.94,20.55
20150302,18826.88,20.63
20150303,18815.16,20.33
20150304,18703.6,20.63
20150305,18751.84,20.02
20150306,18971,19.52
20150309,18790.55,19.68
20150310,18665.11,20.66
20150311,18723.52,20.85
20150312,18991.11,20.1
20150313,19254.25,20.36
20150316,19246.06,20.71
20150317,19437,20.34
20150318,19544.48,20.91
20150319,19476.56,20.5
20150320,19560.22,19.41
20150323,19754.36,19.53
20150324,19713.45,19.94
20150325,19746.2,19.35
20150326,19471.12,21.27
20150327,19285.63,22.75
20150330,19411.4,21.55
20150331,19206.99,22.71
20150401,19034.84,22.6
20150402,19312.79,21.04
20150403,19435.08,20.26
20150406,19397.98,20.49
20150407,19640.54,19.98
20150408,19789.81,19.53
20150409,19937.72,19.3
20150410,19907.63,20.03
20150413,19905.46,20.38
20150414,19908.68,20.38
20150415,19869.76,19.8
20150416,19885.77,19.23
20150417,19652.88,19.7
20150420,19634.49,21.01
20150421,19909.09,20.38
20150422,20133.9,21.5
20150423,20187.65,21.45
20150424,20020.04,21.02
20150427,19983.32,21.75
20150428,20058.95,20.71
20150430,19520.01,21.2
20150501,19531.63,19.97
20150507,19291.99,21.8
20150508,19379.19,20.6
20150511,19620.91,19.34
20150512,19624.84,19.13
20150513,19764.72,18.37
20150514,19570.24,18.34
20150515,19732.92,17.71
20150518,19890.27,18.44
20150519,20026.38,18.44
20150520,20196.56,18.55
20150521,20202.87,18.75
20150522,20264.41,17.42
20150525,20413.77,17.5
20150526,20437.48,17.37
20150527,20472.58,17.69
20150528,20551.46,18.02
20150529,20563.15,18.47
20150601,20569.87,18.56
20150602,20543.19,18.16
20150603,20473.51,18.55
20150604,20488.19,18.39
20150605,20460.9,18.52
20150608,20457.19,17.79
20150609,20096.3,19.42
20150610,20046.36,19.64
20150611,20382.97,17.37
20150612,20407.08,17.52
20150615,20387.79,18.13
20150616,20257.94,18.29
20150617,20219.27,18.69
20150618,19990.82,18.86
20150619,20174.24,17.71
20150622,20428.19,17.57
20150623,20809.42,16.84
20150624,20868.03,17.72
20150625,20771.4,17.96
20150626,20706.15,18.48
20150629,20109.95,23.75
20150630,20235.73,21.41
20150701,20329.32,20.41
20150702,20522.5,19.4
20150703,20539.79,20.92
20150706,20112.12,21.16
20150707,20376.59,18.74
20150708,19737.64,24.3
20150709,19855.5,23.35
20150710,19779.83,24.62
20150713,20089.77,22.12
20150714,20385.33,19.2
20150715,20463.33,17.96
20150716,20600.12,16.6
20150717,20650.92,16.69
20150721,20841.97,16.33
20150722,20593.67,17.45
20150723,20683.95,17.24
20150724,20544.53,18.49
20150727,20350.1,19.56
20150728,20328.89,19.85
20150729,20302.91,19.01
20150730,20522.83,18.09
20150731,20585.24,17.57
20150803,20548.11,17.74
20150804,20520.36,17.45
20150805,20614.06,17.34
20150806,20664.44,17.74
20150807,20724.56,17.78
20150810,20808.69,17.73
20150811,20720.75,17.91
20150812,20392.77,20.28
20150813,20595.55,18.91
20150814,20519.45,17
20150817,20620.26,16.82
20150818,20554.47,17.27
20150819,20222.63,19.06
20150820,20033.52,20.27
20150821,19435.83,24.15
20150824,18540.68,35.66
20150825,17806.7,47.01
20150826,18376.83,35.89
20150827,18574.44,36.08
20150828,19136.32,29.67
20150831,18890.48,33.21
20150901,18165.69,39.16
20150902,18095.4,37.08
20150903,18182.39,35.65
20150904,17792.16,39.19
20150907,17860.47,35.25
20150908,17427.08,35.94
20150909,18770.51,32.88
20150910,18299.62,36.01
20150911,18264.22,31.7
20150914,17965.7,33.36
20150915,18026.48,31.92
20150916,18171.6,30.63
20150917,18432.27,29.17
20150918,18070.21,28.84
20150924,17571.83,30.36
20150925,17880.51,28.82
20150928,17645.11,30.42
20150929,16930.84,33.81
20150930,17388.15,32.19
20151001,17722.42,32.89
20151002,17725.13,33.81
20151005,18005.49,32.27
20151006,18186.1,32.31
20151007,18322.98,28.9
20151008,18141.17,26.93
20151009,18438.67,25.63
20151013,18234.74,25.71
20151014,17891,27.47
20151015,18096.9,26.87
20151016,18291.8,26.79
20151019,18131.23,27.84
20151020,18207.15,26.09
20151021,18554.28,25.54
20151022,18435.87,26.2
20151023,18825.3,26.66
20151026,18947.12,27.68
20151027,18777.04,28.83
20151028,18903.02,27.64
20151029,18935.71,26.58
20151030,19083.1,23.44
20151102,18683.24,23.98
20151104,18926.91,23.61
20151105,19116.41,22.77
20151106,19265.6,22.26
20151109,19642.74,21.48
20151110,19671.26,21.17
20151111,19691.39,21.11
20151112,19697.77,20.4
20151113,19596.91,20.76
20151116,19393.69,23.83
20151117,19630.63,21.95
20151118,19649.18,22.78
20151119,19859.81,21.24
20151120,19879.81,20.46
20151124,19924.89,20.16
20151125,19847.58,20.73
20151126,19944.41,20.38
20151127,19883.94,20.83
20151130,19747.47,21.65
20151201,20012.4,20.31
20151202,19938.13,20.23
20151203,19939.9,20.13
20151204,19504.48,22
20151207,19698.15,19.75
20151208,19492.6,21.06
20151209,19301.07,21.91
20151210,19046.55,22.71
20151211,19230.48,21.05
20151214,18883.42,23.89
20151215,18565.9,26.58
20151216,19049.91,24.57
20151217,19353.56,21.38
20151218,18986.8,23.05
20151221,18916.02,22.71
20151222,18886.7,20.48
20151224,18789.69,20.68
20151225,18769.06,20.84
20151228,18873.35,20.26
20151229,18982.23,19.18
20151230,19033.71,19.47
20160104,18450.98,23.34
20160105,18374,23.33
20160106,18191.32,24.71
20160107,17767.34,27.88
20160108,17697.96,28.35
20160112,17218.96,31.97
20160113,17715.63,27.94
20160114,17240.95,31.76
20160115,17147.11,33.05
20160118,16955.57,37.03
20160119,17048.37,32.95
20160120,16416.19,38.22
20160121,16017.26,42.78
20160122,16958.53,41.14
20160125,17110.91,36.03
20160126,16708.9,38.05
20160127,17163.92,38.11
20160128,17041.45,38.07
20160129,17518.3,31.72
20160201,17865.23,28.93
20160202,17750.68,27.69
20160203,17191.25,32.97
20160204,17044.99,33.67
20160205,16819.59,36.87
20160208,17004.3,32.76
20160209,16085.44,42.47
20160210,15713.39,44.15
20160212,14952.61,49.84
20160215,16022.58,40.82
20160216,16054.43,38.85
20160217,15836.36,40.16
20160218,16196.8,36.26
20160219,15967.17,36.96
20160222,16111.05,34.66
20160223,16052.05,34.55
20160224,15915.79,36.19
20160225,16140.34,34.26
20160226,16188.41,34.09
20160229,16026.76,34.84
20160301,16085.51,33.78
20160302,16746.55,31.32
20160303,16960.16,29.67
20160304,17014.78,29.05
20160307,16911.32,27.76
20160308,16783.15,29.31
20160309,16642.2,31.2
20160310,16852.35,30.93
20160311,16938.87,28.95
20160314,17233.75,27.69
20160315,17117.07,25.44
20160316,16974.45,24.47
20160317,16936.38,23.77
20160318,16724.81,25.35
20160322,17048.55,22.64
20160323,17000.98,22.61
20160324,16892.33,23.6
20160325,17002.75,23.06
20160328,17134.37,23.78
20160329,17103.53,23.77
20160330,16878.96,23.48
20160331,16758.67,22.71
20160401,16164.16,26.96
20160404,16123.27,25.63
20160405,15732.82,28.07
20160406,15715.36,28.16
20160407,15749.84,28.31
20160408,15821.52,27.54
20160411,15751.13,27.45
20160412,15928.79,26.02
20160413,16381.22,25.25
20160414,16911.05,26.11
20160415,16848.03,26.66
20160418,16275.95,31
20160419,16874.44,28.61
20160420,16906.54,30.18
20160421,17363.62,30.15
20160422,17572.49,29.09
20160425,17439.3,29.99
20160426,17353.28,30.59
20160427,17290.49,29.23
20160428,16666.05,27.55
20160502,16147.38,31.07
20160506,16106.72,29.65
20160509,16216.03,27.33
20160510,16565.19,26.49
20160511,16579.01,27.33
20160512,16646.34,25.99
20160513,16412.21,27.3
20160516,16466.4,27.54
20160517,16652.8,26.69
20160518,16644.69,26.91
20160519,16646.66,26.73
20160520,16736.35,26.18
